ld,load_name,n
1,LD_3,2310
2,LD_7,3733
3,LD_11,1831
4,LD_15,2546
5,LD_16,2172
6,LD_22,5120
7,LD_28,6150
8,LD_32,6030
9,LD_34,3781
10,LD_35,4164
11,LD_38,6001
12,LD_41,7842
13,LD_43,5930
14,LD_48,118
15,LD_50,119
16,LD_54,7733
17,LD_55,7733
18,LD_57,3355
19,LD_61,1526
20,LD_64,1166
21,LD_74,7259
22,LD_76,7260
23,LD_77,7260
24,LD_80,7143
25,LD_86,1272
26,LD_92,1664
27,LD_94,1664
28,LD_97,7007
29,LD_100,7242
30,LD_102,8696
31,LD_108,4295
32,LD_111,3983
33,LD_112,3399
34,LD_114,6760
35,LD_115,5089
36,LD_117,9334
37,LD_119,7139
38,LD_128,209
39,LD_130,209
40,LD_134,2954
41,LD_135,2934
42,LD_137,2935
43,LD_146,4239
44,LD_147,4239
45,LD_150,3230
46,LD_152,3230
47,LD_158,7843
48,LD_159,8871
49,LD_165,2062
50,LD_166,3580
51,LD_175,6500
52,LD_178,5336
53,LD_180,6154
54,LD_182,4339
55,LD_183,4340
56,LD_188,875
57,LD_193,4836
58,LD_194,4837
59,LD_196,4837
60,LD_198,4837
61,LD_200,2568
62,LD_201,6565
63,LD_202,6566
64,LD_206,6566
65,LD_208,7994
66,LD_210,7993
67,LD_214,652
68,LD_217,2494
69,LD_218,6587
70,LD_225,2690
71,LD_228,7839
72,LD_231,6528
73,LD_233,1865
74,LD_241,750
75,LD_243,750
76,LD_245,2738
77,LD_247,2737
78,LD_248,5140
79,LD_250,8760
80,LD_256,4822
81,LD_261,7417
82,LD_262,7417
83,LD_268,168
84,LD_270,8105
85,LD_275,3024
86,LD_279,7123
87,LD_282,2824
88,LD_284,658
89,LD_286,658
90,LD_295,8358
91,LD_307,2245
92,LD_310,5996
93,LD_311,9038
94,LD_316,5391
95,LD_318,5525
96,LD_322,3797
97,LD_323,3798
98,LD_327,1579
99,LD_328,3327
100,LD_330,8195
101,LD_331,3620
102,LD_333,1990
103,LD_334,1990
104,LD_340,2403
105,LD_353,8883
106,LD_354,8883
107,LD_357,3426
