gen,generator_name,n,cap
1,GN_7,7231,
2,GN_11,10233,54.0
3,GN_18,9746,
4,GN_23,10172,
5,GN_27,3177,
6,GN_28,3179,
7,GN_29,3753,
8,GN_36,516,
9,GN_38,512,90.12875536
10,GN_39,3028,
11,GN_42,4742,
12,GN_47,3243,
13,GN_49,3243,
14,GN_53,3265,
15,GN_55,4967,
16,GN_69,4727,
17,GN_72,4728,
18,GN_77,6723,20.0
19,GN_79,2367,
20,GN_90,551,40.0
21,GN_92,68,60.4
22,GN_94,70,61.4
23,GN_101,4731,
24,GN_106,2061,169.3491429708
25,GN_115,1326,51.0
26,GN_117,1328,50.5
27,GN_118,1329,50.9
28,GN_120,1332,50.0
29,GN_121,1333,50.5
30,GN_125,8237,
31,GN_131,2265,
32,GN_134,10316,
33,GN_136,8768,
34,GN_138,10266,
35,GN_139,10266,
36,GN_142,10146,
37,GN_144,10147,
38,GN_151,6450,
39,GN_152,6449,
40,GN_153,7088,
41,GN_156,8614,
42,GN_161,3940,176.803088832
43,GN_169,1861,195.501930611
44,GN_170,1864,
45,GN_174,1867,48.0
46,GN_181,9604,
47,GN_190,7006,
48,GN_195,1055,213.46875
49,GN_197,223,51.0
50,GN_199,225,48.4
51,GN_202,229,49.5
52,GN_206,3673,
53,GN_211,3568,
54,GN_213,3570,
55,GN_215,7139,
56,GN_220,770,197.302857024
57,GN_226,708,28.375
58,GN_234,8670,
59,GN_236,2371,560.0
60,GN_237,2381,785.0
61,GN_246,1204,49.866666729
62,GN_248,8556,
63,GN_252,3256,
64,GN_257,3312,
65,GN_259,3312,
66,GN_260,3312,
67,GN_261,3318,
68,GN_270,8514,
69,GN_272,1260,333.8419967625
70,GN_273,1261,476.74630214375
71,GN_275,1442,30.0
72,GN_276,1443,30.0
73,GN_285,405,708.0
74,GN_286,413,740.0
75,GN_288,9035,144.4093686
76,GN_297,8725,
77,GN_298,7897,
78,GN_300,106,44.0
79,GN_303,2953,
80,GN_314,8924,
81,GN_316,1286,44.0
82,GN_317,1807,
83,GN_321,4950,
84,GN_324,9644,
85,GN_331,4845,
86,GN_333,8759,
87,GN_334,9610,
88,GN_337,8987,
89,GN_343,5128,1227.0
90,GN_347,7775,
91,GN_352,2916,
92,GN_360,1080,165.358521018
93,GN_366,6481,48.0
94,GN_368,234,
95,GN_369,232,
96,GN_372,1739,
97,GN_380,5585,81.5
98,GN_396,6431,56.5
99,GN_399,6434,56.5
100,GN_406,3110,
