gen,generator_name,n,cap
1,GN_1,2061,
2,GN_2,2062,
3,GN_3,2062,
4,GN_4,2364,22.1
5,GN_9,1097,
6,GN_12,10319,54.0
7,GN_13,10320,196.0
8,GN_17,4785,
9,GN_20,697,
10,GN_26,2953,
11,GN_28,2955,
12,GN_30,3447,
13,GN_35,1770,189.87124464
14,GN_36,1769,
15,GN_37,1766,76.7263428
16,GN_41,4729,
17,GN_49,3782,
18,GN_51,9117,
19,GN_59,4754,
20,GN_64,4753,
21,GN_66,8459,
22,GN_70,4719,
23,GN_77,4239,20.0
24,GN_80,2170,
25,GN_81,3744,
26,GN_83,7501,
27,GN_84,3960,
28,GN_86,9852,
29,GN_87,9853,
30,GN_88,191,40.0
31,GN_90,190,40.0
32,GN_92,38,60.4
33,GN_97,43,64.3
34,GN_99,8817,
35,GN_101,4723,
36,GN_103,9913,
37,GN_106,2883,169.3491429708
38,GN_112,8913,
39,GN_120,1037,50.0
40,GN_126,4858,
41,GN_127,2131,
42,GN_129,7509,
43,GN_133,2028,
44,GN_134,10355,
45,GN_136,9046,
46,GN_139,10332,
47,GN_141,10275,
48,GN_143,10276,
49,GN_144,10276,
50,GN_149,4936,
51,GN_150,4937,
52,GN_151,7139,
53,GN_153,7479,
54,GN_156,8897,
55,GN_157,8897,
56,GN_160,8845,
57,GN_174,2684,48.0
58,GN_176,2686,47.0
59,GN_179,3506,
60,GN_180,9060,
61,GN_186,4472,
62,GN_187,3947,
63,GN_190,3948,
64,GN_205,3376,
65,GN_208,4642,
66,GN_212,3266,
67,GN_220,402,197.302857024
68,GN_223,149,
69,GN_225,342,28.375
70,GN_226,341,28.375
71,GN_230,9213,312.952606587
72,GN_231,9212,171.0
73,GN_236,2174,560.0
74,GN_240,2176,420.0
75,GN_242,63,43.0
76,GN_243,64,43.0
77,GN_253,3790,
78,GN_255,3791,
79,GN_256,3791,
80,GN_259,3017,
81,GN_261,3023,
82,GN_264,3386,9.4
83,GN_266,8578,
84,GN_275,1202,30.0
85,GN_278,1196,122.2875
86,GN_284,501,209.25816037
87,GN_289,9304,146.1812628
88,GN_292,7404,
89,GN_305,363,244.0
90,GN_308,369,314.0
91,GN_309,4893,
92,GN_312,4707,
93,GN_313,4522,
94,GN_316,983,44.0
95,GN_320,4895,
96,GN_321,4885,
97,GN_322,5790,
98,GN_323,8111,
99,GN_329,4817,
100,GN_330,4817,
101,GN_332,9037,
102,GN_333,9036,
103,GN_336,8768,
104,GN_339,3740,
105,GN_341,7341,0.0
106,GN_343,6491,1227.0
107,GN_346,176,
108,GN_348,8184,
109,GN_350,4797,
110,GN_354,1609,
111,GN_356,1831,
112,GN_362,1050,
113,GN_368,169,
114,GN_371,169,
115,GN_372,1506,
116,GN_373,1506,
117,GN_385,8738,
118,GN_388,313,189.506750664
119,GN_391,315,311.369814234
120,GN_393,2223,54.0
121,GN_397,7121,56.5
122,GN_405,3686,
123,GN_409,3863,
124,GN_413,490,67.9675
125,GN_425,9574,
126,GN_427,1215,
127,GN_434,1214,26.0
128,GN_436,1219,0.0
129,GN_439,1213,10.75
130,GN_440,3689,
131,GN_446,6302,
132,GN_453,9322,
133,GN_454,2087,
134,GN_457,7199,163.7
135,GN_461,10350,
136,GN_464,4762,
137,GN_465,3116,
138,GN_466,8112,
139,GN_467,9085,
140,GN_471,4869,
141,GN_473,9003,
142,GN_475,3763,
143,GN_476,9192,
144,GN_479,4796,
145,GN_493,436,14.925
146,GN_496,429,3.75
147,GN_497,432,9.775
148,GN_502,9939,
149,GN_503,9940,
150,GN_506,9504,
151,GN_509,7852,
152,GN_510,51,113.0
153,GN_514,3628,257.0
