gen,generator_name,n,cap
356,GN_1459,486,46.0
357,GN_1468,9237,
358,GN_1473,176,159.0
359,GN_1479,174,607.0
360,GN_1481,1423,
361,GN_1483,3439,247.74999975225
362,GN_1484,3440,247.74999975225
363,GN_1485,2348,
364,GN_1486,8816,
365,GN_1487,8428,
366,GN_1494,8296,
367,GN_1495,1717,
368,GN_1498,4896,653.08264518
369,GN_1501,4134,279.06728828
370,GN_1503,7561,
371,GN_1504,7561,
372,GN_1506,7562,
373,GN_1509,6400,
374,GN_1511,4970,
375,GN_1513,4970,
376,GN_1519,2533,45.0
377,GN_1523,6373,
378,GN_1525,3028,
379,GN_1539,5050,
380,GN_1540,5051,
381,GN_1548,6497,
