gen,generator_name,n,cap
1,GN_19,9406,
2,GN_20,81,
3,GN_23,9131,
4,GN_27,6414,
5,GN_28,6416,
6,GN_30,6067,
7,GN_32,1255,36.0
8,GN_38,1249,90.12875536
9,GN_50,6480,
10,GN_56,6442,
11,GN_69,2833,
12,GN_71,2834,
13,GN_72,2834,
14,GN_77,5365,20.0
15,GN_78,2499,
16,GN_79,2506,
17,GN_91,1289,40.0
18,GN_93,332,62.8
19,GN_95,334,62.0
20,GN_96,335,61.0
21,GN_97,336,64.3
22,GN_103,9473,
23,GN_107,2261,169.3491429708
24,GN_109,6447,
25,GN_114,534,51.0
26,GN_115,535,51.0
27,GN_122,492,
28,GN_123,493,
29,GN_125,6936,
30,GN_142,9106,
31,GN_144,9107,
32,GN_146,5614,
33,GN_155,7315,
34,GN_160,8042,
35,GN_165,4346,222.393822336
36,GN_175,2072,48.0
37,GN_176,2073,47.0
38,GN_178,6121,
39,GN_180,8262,
40,GN_183,8230,
41,GN_184,8228,
42,GN_187,5634,
43,GN_195,75,213.46875
44,GN_197,580,51.0
45,GN_198,581,51.0
46,GN_201,584,51.0
47,GN_202,586,49.5
48,GN_205,6006,
49,GN_215,7098,
50,GN_220,1502,197.302857024
51,GN_221,1503,197.302857024
52,GN_225,1439,28.375
53,GN_227,1440,28.375
54,GN_237,2520,785.0
55,GN_241,2511,410.0
56,GN_245,220,137.133333271
57,GN_251,6493,
58,GN_252,6493,
59,GN_259,5664,
60,GN_261,5670,
61,GN_262,5669,
62,GN_263,5666,
63,GN_264,6018,9.4
64,GN_268,6574,
65,GN_272,352,333.8419967625
66,GN_276,706,30.0
67,GN_277,704,121.0625
68,GN_279,700,122.2875
69,GN_280,702,94.32234425
70,GN_282,1599,205.0
71,GN_286,1152,740.0
72,GN_288,8457,144.4093686
73,GN_294,6368,
74,GN_297,8207,
75,GN_307,1467,257.15
76,GN_308,1469,314.0
77,GN_312,2826,
78,GN_316,421,44.0
79,GN_317,1743,
80,GN_318,1744,
81,GN_324,9284,
82,GN_330,2911,
83,GN_331,2911,
84,GN_334,9243,
85,GN_335,9243,
86,GN_340,6420,
87,GN_343,3066,1227.0
88,GN_346,624,
89,GN_350,2891,
90,GN_361,100,154.836601425
91,GN_365,5152,48.0
92,GN_369,589,
93,GN_378,3511,
94,GN_380,3506,81.5
95,GN_381,3507,81.3
96,GN_383,8874,
97,GN_386,1407,208.479747231
98,GN_387,1413,189.506750664
99,GN_395,2557,54.0
100,GN_397,4916,56.5
101,GN_405,6347,
102,GN_406,6346,
103,GN_416,9256,
104,GN_431,725,0.0
105,GN_443,7611,
106,GN_444,7608,
107,GN_450,1639,
108,GN_457,7256,163.7
109,GN_459,6302,
110,GN_460,6680,
111,GN_461,9439,
112,GN_464,5022,
113,GN_473,8200,
114,GN_475,6452,
115,GN_478,2889,
116,GN_480,3737,235.0
117,GN_481,3736,108.95048690625
118,GN_482,7546,
119,GN_486,8040,
120,GN_490,1534,3.15
121,GN_495,1531,4.15
122,GN_497,1535,9.775
123,GN_505,8653,
124,GN_510,379,113.0
125,GN_511,5060,
126,GN_512,5059,
127,GN_513,5060,
128,GN_514,6281,257.0
129,GN_515,6282,183.953488175
130,GN_516,6283,197.093023085
131,GN_519,5057,
132,GN_522,5081,
133,GN_527,6731,
134,GN_528,7585,
135,GN_529,4422,
136,GN_530,6341,
137,GN_531,6342,
138,GN_533,9281,
139,GN_536,1622,0.0
140,GN_538,1629,
141,GN_539,1630,0.0
142,GN_540,1631,15.0
143,GN_542,1605,26.50306752
144,GN_547,1602,0.0
145,GN_551,8271,
146,GN_552,8271,
147,GN_554,2094,297.2
148,GN_555,2544,431.1
149,GN_563,2749,
150,GN_564,3688,183.872164998
151,GN_568,3690,175.063917768
152,GN_571,3689,437.697648284
153,GN_584,6444,
154,GN_585,6445,
155,GN_589,1179,68.0
156,GN_592,1173,72.0
157,GN_600,5660,
158,GN_602,2893,
159,GN_605,9459,
160,GN_607,6382,
161,GN_615,7216,
162,GN_619,9408,
163,GN_635,2193,158.927383496
164,GN_636,2190,206.814946779
165,GN_661,5851,
166,GN_662,6357,
167,GN_663,6358,
168,GN_670,7491,
169,GN_686,5639,
170,GN_687,5640,
171,GN_691,7217,
172,GN_696,9175,
173,GN_702,397,
174,GN_705,3381,
175,GN_710,5840,
176,GN_712,5841,
177,GN_713,6969,
178,GN_718,9428,
179,GN_719,9427,
180,GN_720,9427,
181,GN_722,3321,165.664786455
182,GN_724,3322,291.67042709
183,GN_728,6476,
184,GN_743,4815,171.24899274
185,GN_759,8163,
186,GN_761,4878,
187,GN_763,6786,
188,GN_775,7952,
189,GN_783,7983,102.0
190,GN_787,2474,
191,GN_789,3550,857.0
192,GN_791,2145,46.0
193,GN_792,2148,46.0
194,GN_801,7904,94.754098296
195,GN_802,2744,
196,GN_803,2743,
197,GN_811,551,42.0
198,GN_817,7344,
199,GN_826,6185,
200,GN_827,6184,
201,GN_834,2238,178.74509806
202,GN_837,9028,175.41401256
203,GN_845,8023,
204,GN_847,8044,
205,GN_849,1284,
206,GN_852,8252,
207,GN_856,382,
208,GN_858,1954,
209,GN_860,9244,
210,GN_861,9245,
211,GN_865,6434,
212,GN_866,9397,
213,GN_869,6431,
214,GN_873,6433,
215,GN_878,8015,
216,GN_880,7082,
217,GN_883,7081,
218,GN_886,2988,118.0
219,GN_887,2986,568.0
220,GN_890,4383,266.5
221,GN_896,5048,
222,GN_906,6094,78.225
223,GN_908,9165,
224,GN_912,6962,
225,GN_914,3013,
226,GN_920,363,11.0
227,GN_923,8081,
228,GN_924,8080,
229,GN_930,5355,820.0
230,GN_935,8421,
231,GN_939,1303,
232,GN_941,565,
233,GN_952,960,
234,GN_953,961,
235,GN_954,962,
236,GN_962,162,1.0
237,GN_963,483,
238,GN_964,8268,
239,GN_968,8670,243.167155178
240,GN_972,2858,
241,GN_978,8643,322.023696633
242,GN_982,6870,
243,GN_983,6870,
244,GN_984,8462,
245,GN_987,2374,
246,GN_988,6979,
247,GN_990,6763,167.650580411325
248,GN_994,6762,147.884253225875
249,GN_999,3082,107.0
250,GN_1001,3080,86.0
251,GN_1004,3106,
252,GN_1013,8034,17.0
253,GN_1027,4872,210.13760214
254,GN_1030,7960,
255,GN_1033,5565,
256,GN_1034,430,
257,GN_1035,6704,
258,GN_1037,7003,74.015
259,GN_1038,7000,73.275
260,GN_1044,6721,
261,GN_1049,7729,50.0
262,GN_1050,7730,50.075
263,GN_1060,9186,
264,GN_1064,7440,
265,GN_1065,7441,
266,GN_1076,7689,
267,GN_1079,2873,
268,GN_1081,2921,
269,GN_1091,5002,
270,GN_1093,7529,
271,GN_1094,513,50.7
272,GN_1098,517,51.0
273,GN_1099,518,47.6
274,GN_1105,49,7.125
275,GN_1108,1266,68.868527408
276,GN_1109,1271,68.868527408
277,GN_1110,1270,68.868527408
278,GN_1111,1268,121.689895525
279,GN_1115,1097,176.66666649
280,GN_1120,5693,
281,GN_1127,6777,72.0
282,GN_1132,7481,
283,GN_1133,7480,
284,GN_1138,496,48.9
285,GN_1149,7451,
286,GN_1150,7452,
287,GN_1156,610,
288,GN_1159,6672,
289,GN_1161,7991,
290,GN_1167,8220,
291,GN_1168,8220,
292,GN_1173,2647,185.0
293,GN_1175,2644,165.201711129
294,GN_1180,5013,
295,GN_1192,5077,
296,GN_1201,2460,
297,GN_1204,7504,
298,GN_1206,9252,
299,GN_1210,5606,
300,GN_1214,5609,
301,GN_1216,1845,48.0
302,GN_1218,1844,48.0
303,GN_1221,1847,48.0
304,GN_1225,8471,391.0
305,GN_1227,8102,
306,GN_1228,8103,
307,GN_1231,4833,439.8
308,GN_1232,1378,28.5
309,GN_1235,1380,29.25
310,GN_1237,5277,502.0
311,GN_1248,7687,
312,GN_1260,1205,83.0
313,GN_1262,2391,25.0
314,GN_1264,2444,
315,GN_1267,1489,
316,GN_1277,4212,57.0
317,GN_1282,7354,
318,GN_1285,7231,
319,GN_1286,7229,
320,GN_1289,9159,
321,GN_1291,5631,
322,GN_1299,3988,8.4
323,GN_1301,3986,38.0
324,GN_1306,4990,
325,GN_1313,5032,
326,GN_1315,6505,
327,GN_1318,5728,
328,GN_1322,5997,
329,GN_1323,5997,
330,GN_1324,6439,
331,GN_1331,7399,
332,GN_1332,7400,
333,GN_1342,6652,
334,GN_1350,5332,167.55
335,GN_1351,5329,154.2992
336,GN_1353,5333,417.3092
337,GN_1354,577,77.9
338,GN_1355,8571,
339,GN_1357,130,63.5
340,GN_1359,133,63.5
341,GN_1367,142,68.0
342,GN_1380,5652,
343,GN_1388,8753,83.6516950225
344,GN_1391,442,47.06
345,GN_1395,446,51.0
346,GN_1397,448,51.0
347,GN_1398,449,49.6
348,GN_1402,8139,
349,GN_1410,595,
350,GN_1411,5898,
351,GN_1420,8214,
352,GN_1423,9412,
353,GN_1435,9250,
354,GN_1438,1383,0.0
355,GN_1457,409,47.0
