gen,generator_name,n,cap
1,GN_1,2309,
2,GN_2,2310,
3,GN_16,1166,
4,GN_17,4908,
5,GN_20,1665,
6,GN_21,6760,
7,GN_23,9333,
8,GN_33,1136,4.941860475
9,GN_40,4836,
10,GN_43,4836,
11,GN_46,4837,
12,GN_49,6565,
13,GN_51,6806,
14,GN_52,652,
15,GN_54,6585,
16,GN_56,6528,
17,GN_66,8760,
18,GN_67,8760,
19,GN_74,5069,
20,GN_77,5442,20.0
21,GN_79,2358,
22,GN_86,9613,
23,GN_87,9614,
24,GN_93,213,62.8
25,GN_97,217,64.3
26,GN_99,7488,
27,GN_102,9681,
28,GN_103,9682,
29,GN_107,2090,169.3491429708
30,GN_108,2089,258.0017140584
31,GN_110,885,
32,GN_111,6684,
33,GN_116,418,51.0
34,GN_134,9704,
35,GN_139,9494,
36,GN_141,9312,
37,GN_142,9312,
38,GN_144,9313,
39,GN_151,5199,
40,GN_152,5198,
41,GN_155,8315,
42,GN_160,6663,
43,GN_161,4074,176.803088832
44,GN_164,4079,94.241666579
45,GN_165,4076,222.393822336
46,GN_167,1895,168.749034961
47,GN_170,1896,
48,GN_176,1901,47.0
49,GN_178,6209,
50,GN_182,6743,
51,GN_187,5706,
52,GN_188,5706,
53,GN_189,5706,
54,GN_191,1691,
55,GN_198,460,51.0
56,GN_200,462,47.8
57,GN_204,6088,
58,GN_207,4699,
59,GN_221,1382,197.302857024
60,GN_222,1384,229.394285952
61,GN_228,1324,113.5
62,GN_230,6877,312.952606587
63,GN_233,6698,
64,GN_236,2362,560.0
65,GN_240,2366,420.0
66,GN_247,6658,
67,GN_252,6578,
68,GN_254,6579,
69,GN_256,6580,
70,GN_262,5745,
71,GN_264,6095,9.4
72,GN_269,8391,
73,GN_270,6643,
74,GN_272,233,333.8419967625
75,GN_274,591,121.0625
76,GN_276,594,30.0
77,GN_285,1028,708.0
78,GN_287,6972,144.4093686
79,GN_288,6970,144.4093686
80,GN_291,7464,
81,GN_294,6456,
82,GN_300,269,44.0
83,GN_305,1342,244.0
84,GN_307,1346,257.15
85,GN_308,1348,314.0
86,GN_317,1721,
87,GN_320,5050,
88,GN_321,5041,
89,GN_325,7074,655.0
90,GN_326,9575,
91,GN_327,6856,
92,GN_334,9446,
93,GN_335,9446,
94,GN_338,6505,
95,GN_343,2795,1227.0
96,GN_344,2794,1208.0
97,GN_346,502,
98,GN_354,979,
99,GN_356,1718,
100,GN_357,1719,
101,GN_360,1682,165.358521018
102,GN_361,1684,154.836601425
103,GN_369,468,
104,GN_371,470,
105,GN_378,3243,
106,GN_383,9078,
107,GN_384,6989,
108,GN_386,1288,208.479747231
109,GN_390,1299,170.92215342
110,GN_398,5183,56.5
111,GN_410,1465,72.3525
112,GN_415,9458,
113,GN_420,9679,
114,GN_427,606,
115,GN_428,607,0.0
116,GN_431,613,0.0
117,GN_435,634,51.0
118,GN_439,604,10.75
119,GN_458,8238,165.7
120,GN_459,6390,
121,GN_462,7618,
122,GN_463,7971,
123,GN_464,4872,
124,GN_471,5025,
125,GN_477,4919,
126,GN_479,4919,
127,GN_484,8666,
128,GN_493,1417,14.925
129,GN_496,1410,3.75
130,GN_497,1413,9.775
131,GN_507,6849,
132,GN_510,260,113.0
133,GN_513,4913,
134,GN_514,6368,257.0
135,GN_515,6369,183.953488175
136,GN_516,6370,197.093023085
137,GN_521,4958,
138,GN_523,7796,
139,GN_525,7674,71.5
140,GN_528,8709,
141,GN_531,6430,
142,GN_534,1487,30.0
143,GN_535,1482,0.0
144,GN_539,1508,0.0
145,GN_541,1485,64.4776119
146,GN_542,1484,26.50306752
147,GN_543,1486,40.0
148,GN_544,1488,0.0
149,GN_550,7623,
150,GN_551,7624,
151,GN_556,5210,173.472868296
152,GN_563,2707,
153,GN_568,3411,175.063917768
154,GN_571,3410,437.697648284
155,GN_572,6795,171.138
156,GN_575,9662,
157,GN_578,5561,156.4238370882
158,GN_582,4709,
159,GN_584,6530,
160,GN_585,6531,
161,GN_588,1069,68.0
162,GN_590,1067,69.0
163,GN_593,1068,67.0
164,GN_594,1989,
165,GN_599,6818,
166,GN_603,8063,
167,GN_609,9392,
168,GN_611,9387,
169,GN_617,8658,
170,GN_627,4422,395.0
171,GN_637,2018,211.545233008
172,GN_643,8600,
173,GN_646,2133,254.1
174,GN_647,2130,255.89
175,GN_653,1192,
176,GN_662,6445,
177,GN_668,8565,
178,GN_670,8566,
179,GN_679,520,
180,GN_681,6648,
181,GN_683,6492,
182,GN_685,477,
183,GN_686,5711,
184,GN_687,5712,
185,GN_696,9378,
186,GN_699,9692,
187,GN_702,278,
188,GN_705,3117,
189,GN_710,5917,
190,GN_713,7916,
191,GN_715,7103,67.20875
192,GN_720,9639,
193,GN_723,3058,165.664786455
194,GN_727,6561,
195,GN_739,526,
196,GN_744,4557,171.24899274
197,GN_748,6821,
198,GN_750,5919,
199,GN_753,8671,
200,GN_758,6716,
201,GN_764,8005,
202,GN_769,9059,164.4
203,GN_777,8773,
204,GN_779,8774,
205,GN_784,7278,
206,GN_792,1981,46.0
207,GN_793,1982,46.0
208,GN_795,5460,
209,GN_797,8641,
210,GN_798,6270,
211,GN_800,7399,156.065573688
212,GN_801,7400,94.754098296
213,GN_806,9395,
214,GN_807,4189,392.0
215,GN_809,4323,
216,GN_810,430,43.0
217,GN_818,8343,
218,GN_822,4424,
219,GN_823,9488,
220,GN_825,6271,
221,GN_836,9227,184.58598744
222,GN_844,6725,
223,GN_847,6665,
224,GN_852,6758,
225,GN_853,747,
226,GN_857,2332,
227,GN_867,9602,
228,GN_868,9600,
229,GN_872,6517,
230,GN_880,8035,
231,GN_884,6776,
232,GN_887,5102,568.0
233,GN_889,4114,263.0
234,GN_894,1835,
235,GN_902,6183,76.125
236,GN_904,6181,77.275
237,GN_914,5128,
238,GN_916,5131,200.0
239,GN_917,5130,111.0
240,GN_921,7538,
241,GN_923,7538,
242,GN_931,3048,
243,GN_935,6936,
244,GN_936,9310,
245,GN_937,5035,
246,GN_941,445,
247,GN_942,445,
248,GN_943,446,
249,GN_947,453,
250,GN_954,851,
251,GN_959,46,2.75
252,GN_960,50,0.0
253,GN_962,49,1.0
254,GN_964,6769,
255,GN_967,7182,223.916422411
256,GN_978,7157,322.023696633
257,GN_980,7161,158.488151364
258,GN_982,7819,
259,GN_983,7819,
260,GN_985,7441,
261,GN_987,2203,
262,GN_989,7703,179.0
263,GN_992,7705,113.569363524375
264,GN_993,7704,218.306065276945
265,GN_994,7706,147.884253225875
266,GN_995,5586,855.0
267,GN_996,5584,845.0
268,GN_999,2811,107.0
269,GN_1003,2837,9.9
270,GN_1004,2837,
271,GN_1010,6467,
272,GN_1011,8044,
273,GN_1018,9673,
274,GN_1022,9354,214.8251447056
275,GN_1024,4631,212.7247956
276,GN_1030,6620,
277,GN_1035,8844,
278,GN_1036,8844,
279,GN_1044,7663,
280,GN_1047,7220,50.075
281,GN_1048,7221,50.05
282,GN_1057,307,
283,GN_1060,9389,
284,GN_1064,8489,
285,GN_1067,493,
286,GN_1077,8841,
287,GN_1079,4881,
288,GN_1084,361,
289,GN_1085,362,
290,GN_1089,5112,
291,GN_1091,4832,
292,GN_1096,396,51.0
293,GN_1098,398,51.0
294,GN_1102,8688,
295,GN_1103,8689,
296,GN_1108,1149,68.868527408
297,GN_1118,7922,
298,GN_1121,5768,
299,GN_1123,5769,
300,GN_1127,7721,72.0
301,GN_1128,7722,69.423323284
302,GN_1129,7719,100.9428812
303,GN_1136,376,51.0
304,GN_1142,382,51.0
305,GN_1146,4867,
306,GN_1147,4868,
307,GN_1150,8503,
308,GN_1153,1204,40.16393445
309,GN_1156,488,
310,GN_1158,8679,
311,GN_1163,7507,55.925
312,GN_1164,7510,55.875
313,GN_1165,7509,56.05
314,GN_1169,6742,
315,GN_1172,8388,
316,GN_1173,2506,185.0
317,GN_1175,2503,165.201711129
318,GN_1177,7134,
319,GN_1182,4862,
320,GN_1189,8820,
321,GN_1191,4954,
322,GN_1195,8414,
323,GN_1199,6403,
324,GN_1200,2288,
325,GN_1202,8483,0.0
326,GN_1207,9456,
327,GN_1211,9606,
328,GN_1213,9608,
329,GN_1214,9611,
330,GN_1216,2618,48.0
331,GN_1219,2617,48.0
332,GN_1222,2619,167.708333325
333,GN_1227,6677,
334,GN_1230,407,
335,GN_1232,1259,28.5
336,GN_1233,1258,29.5
337,GN_1241,8831,
338,GN_1244,7743,
339,GN_1251,4952,
340,GN_1252,4951,
341,GN_1257,8293,
342,GN_1260,1090,83.0
343,GN_1261,2218,25.0
344,GN_1267,1368,
345,GN_1270,9436,
346,GN_1279,6411,
347,GN_1283,8354,
348,GN_1286,8211,
349,GN_1287,9364,
350,GN_1291,5703,
351,GN_1293,5704,
352,GN_1302,7563,
353,GN_1304,99,590.2
354,GN_1310,6103,
355,GN_1312,5202,
356,GN_1316,7855,
357,GN_1318,5805,
358,GN_1333,5299,
359,GN_1337,410,
360,GN_1340,8694,
361,GN_1342,8627,
362,GN_1344,1598,47.5
363,GN_1345,1597,31.82
364,GN_1348,3658,168.494381916
365,GN_1356,7091,
366,GN_1357,19,63.5
367,GN_1371,11,16.0
368,GN_1384,5232,155.0
369,GN_1386,8958,83.6516950225
370,GN_1387,8959,85.7966102081
371,GN_1390,5030,
372,GN_1394,327,51.0
373,GN_1395,328,51.0
374,GN_1398,331,49.6
375,GN_1402,7570,
376,GN_1404,7571,
377,GN_1405,481,
378,GN_1407,8711,
379,GN_1411,5975,
380,GN_1413,5976,
381,GN_1415,5977,
382,GN_1418,5275,236.0
383,GN_1421,9625,
384,GN_1431,832,99.0
385,GN_1448,9503,
386,GN_1449,9503,
387,GN_1450,9503,
