gen,generator_name,n,cap
388,GN_1452,9504,
389,GN_1459,368,46.0
390,GN_1466,4840,
391,GN_1473,63,159.0
392,GN_1474,70,258.0
393,GN_1479,61,607.0
394,GN_1481,1304,
395,GN_1482,3174,247.74999975225
396,GN_1483,3170,247.74999975225
397,GN_1494,7631,
398,GN_1496,4673,459.91735482
399,GN_1499,3859,364.265122294535
400,GN_1501,3857,279.06728828
401,GN_1503,8683,
402,GN_1504,8683,
403,GN_1506,8684,
404,GN_1507,9020,
405,GN_1510,5039,
406,GN_1516,2391,45.0
407,GN_1519,2388,45.0
408,GN_1524,9375,
409,GN_1526,5143,
410,GN_1528,7924,
411,GN_1539,4903,
412,GN_1547,6582,
