gen,generator_name,n,cap
261,GN_1009,6288,
262,GN_1028,4784,210.13760214
263,GN_1030,7799,
264,GN_1033,5485,
265,GN_1038,6868,73.275
266,GN_1046,6592,
267,GN_1050,8562,50.075
268,GN_1061,9085,
269,GN_1062,4886,
270,GN_1079,2794,
271,GN_1080,2795,
272,GN_1091,4916,
273,GN_1096,495,51.0
274,GN_1103,7460,
275,GN_1105,38,7.125
276,GN_1110,1240,68.868527408
277,GN_1115,1075,176.66666649
278,GN_1123,5607,
279,GN_1127,6646,72.0
280,GN_1131,6556,
281,GN_1132,7372,
282,GN_1133,7371,
283,GN_1134,7373,
284,GN_1135,7374,
285,GN_1137,475,48.5
286,GN_1143,481,51.0
287,GN_1148,6319,
288,GN_1149,7340,
289,GN_1152,1288,30.3278688
290,GN_1154,1289,40.16393445
291,GN_1158,6554,
292,GN_1159,6554,
293,GN_1161,7830,
294,GN_1168,8067,
295,GN_1172,6469,
296,GN_1186,538,
297,GN_1188,7562,
298,GN_1193,7118,
299,GN_1201,2399,
300,GN_1205,7396,
301,GN_1208,9163,
302,GN_1209,9164,
303,GN_1211,9300,
304,GN_1216,1799,48.0
305,GN_1218,1798,48.0
306,GN_1220,1801,48.0
307,GN_1221,1801,48.0
308,GN_1225,8334,391.0
309,GN_1228,7944,
310,GN_1229,6846,
311,GN_1236,5203,170.0
312,GN_1246,7984,
313,GN_1248,7583,
314,GN_1250,9109,
315,GN_1257,7169,
316,GN_1263,2382,
317,GN_1264,2383,
318,GN_1266,1455,
319,GN_1275,9116,
320,GN_1277,4126,57.0
321,GN_1280,6233,
322,GN_1281,6234,
323,GN_1286,7097,
324,GN_1288,9060,
325,GN_1291,5545,
326,GN_1296,2611,18.0
327,GN_1297,3904,8.4
328,GN_1301,3902,38.0
329,GN_1306,4904,
330,GN_1312,4947,
331,GN_1315,6413,
332,GN_1318,5641,
333,GN_1320,5588,
334,GN_1322,5909,
335,GN_1328,5806,
336,GN_1330,8291,
337,GN_1333,5147,
338,GN_1339,7464,
339,GN_1343,7560,
340,GN_1344,2,47.5
341,GN_1348,3855,168.494381916
342,GN_1349,3856,107.505618084
343,GN_1350,5255,167.55
344,GN_1351,5252,154.2992
345,GN_1352,5254,167.55
346,GN_1353,5256,417.3092
347,GN_1354,558,77.9
348,GN_1366,115,69.0
349,GN_1385,5083,155.0
350,GN_1386,8657,83.6516950225
351,GN_1395,426,51.0
352,GN_1396,427,51.0
353,GN_1399,430,48.5
354,GN_1407,7480,
355,GN_1416,2636,
356,GN_1419,8060,
357,GN_1420,8061,
358,GN_1424,9316,
359,GN_1434,921,126.671840301
360,GN_1453,9132,
361,GN_1454,785,108.2706768
362,GN_1456,388,47.0
363,GN_1457,389,47.0
364,GN_1459,466,46.0
365,GN_1463,2768,
366,GN_1464,2766,
367,GN_1469,9137,
368,GN_1473,162,159.0
369,GN_1479,160,607.0
370,GN_1483,3358,247.74999975225
371,GN_1484,3359,247.74999975225
372,GN_1485,2289,
373,GN_1486,8719,
374,GN_1494,8140,
375,GN_1495,1684,
376,GN_1496,4803,459.91735482
377,GN_1498,4805,653.08264518
378,GN_1501,4050,279.06728828
379,GN_1503,7454,
380,GN_1505,7455,
381,GN_1509,6310,
382,GN_1511,4884,
383,GN_1512,4884,
384,GN_1516,2473,45.0
385,GN_1518,2470,45.0
386,GN_1521,1983,
387,GN_1524,9070,
388,GN_1525,2957,
389,GN_1527,6833,
390,GN_1528,6845,
391,GN_1539,4964,
392,GN_1540,4965,
393,GN_1548,6405,
