gen,generator_name,n,cap
263,GN_985,2222,
264,GN_988,7924,167.653560256875
265,GN_989,7919,119.5952398183975
266,GN_990,7922,113.4971022697875
267,GN_991,7921,218.309945480375
268,GN_992,7923,147.7901582926975
269,GN_993,5746,855.0
270,GN_998,5218,146.0
271,GN_999,5219,86.0
272,GN_1004,1588,
273,GN_1007,6657,
274,GN_1011,6835,17.0
275,GN_1018,7769,
276,GN_1020,9583,214.8251447056
277,GN_1026,4597,210.13760214
278,GN_1031,5798,
279,GN_1032,281,
280,GN_1039,8165,76.8
281,GN_1042,7877,
282,GN_1043,7880,
283,GN_1052,7345,
284,GN_1055,276,
285,GN_1059,9619,
286,GN_1062,8714,
287,GN_1069,462,
288,GN_1070,464,
289,GN_1076,7782,
290,GN_1077,4856,
291,GN_1082,330,
292,GN_1084,138,90.0
293,GN_1090,8857,
294,GN_1092,363,50.7
295,GN_1096,367,51.0
296,GN_1097,368,47.6
297,GN_1102,1583,
298,GN_1110,1143,59.362028676
299,GN_1113,969,176.66666649
300,GN_1117,5931,
301,GN_1120,5930,
302,GN_1121,5931,
303,GN_1123,7941,74.0
304,GN_1130,8781,
305,GN_1136,347,48.9
306,GN_1138,349,51.0
307,GN_1139,350,51.0
308,GN_1144,4842,
309,GN_1147,8727,
310,GN_1150,1191,30.3278688
311,GN_1152,1192,40.16393445
312,GN_1157,8904,
313,GN_1158,6827,
314,GN_1159,6828,
315,GN_1163,7678,56.025
316,GN_1166,6902,
317,GN_1167,6902,
318,GN_1169,8513,
319,GN_1171,2543,185.0
320,GN_1176,7286,
321,GN_1183,404,
322,GN_1185,5846,
323,GN_1189,4938,
324,GN_1193,8638,
325,GN_1194,6689,
326,GN_1196,6640,
327,GN_1201,8708,
328,GN_1205,9686,
329,GN_1207,9701,
330,GN_1208,9840,
331,GN_1210,9842,
332,GN_1213,9845,
333,GN_1216,2659,48.0
334,GN_1221,2661,157.291666675
335,GN_1224,7701,
336,GN_1226,6853,
337,GN_1227,8141,
338,GN_1233,1251,29.25
339,GN_1235,5508,502.0
340,GN_1245,9061,
341,GN_1246,9061,
342,GN_1251,2825,
343,GN_1254,7025,40.0
344,GN_1255,8514,
345,GN_1260,2238,25.0
346,GN_1264,1359,
347,GN_1273,9649,
348,GN_1277,6601,
349,GN_1280,8575,
350,GN_1281,8575,
351,GN_1284,8432,
352,GN_1286,9594,
353,GN_1295,3629,8.4
354,GN_1296,3629,8.4
355,GN_1300,7736,
356,GN_1303,60,586.4
357,GN_1310,5353,
